Id,Date,California_County,Cumulative_ConfirmedCases,Cumulative_Deaths,Instructions,Grocery_&_Essential_Retail,Government,Restaurants_&_Bars,Schools,Recreation,Parks,Gatherings
1,3/22/2020,Alameda,70,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
2,3/22/2020,Alpine,0,0,,,,,,,,
3,3/22/2020,Amador,2,0,,,,,,,,
4,3/22/2020,Butte,1,0,,,,,,,,
5,3/22/2020,Calaveras,2,0,,,,,,,,
6,3/22/2020,Colusa,0,0,,,,,,,,
7,3/22/2020,Contra Costa,51,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
8,3/22/2020,Del Norte,0,0,,,,,,,,
9,3/22/2020,El Dorado,2,0,Shelter in place,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,Except in individual households
10,3/22/2020,Fresno,6,0,Shelter in place in city of Fresno recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
11,3/22/2020,Glenn,0,0,,,,,,,,
12,3/22/2020,Humboldt,2,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
13,3/22/2020,Imperial,6,0,,,,,,,,
14,3/22/2020,Inyo,0,0,,,,,,,,
15,3/22/2020,Kern,4,0,,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
16,3/22/2020,Kings,0,0,,,,,,,,
17,3/22/2020,Lake,0,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
18,3/22/2020,Lassen,0,0,,,,,,,,
19,3/22/2020,Los Angeles,353,4,Safer at Home,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 10 people
20,3/22/2020,Madera,3,0,,,,,,,,
21,3/22/2020,Marin,38,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
22,3/22/2020,Mariposa,0,0,,Open,Open,Maintain social distancing: bars open. Restaurants are takeout/delivery only.,K-12 schools are closed.,Maintain social distancing: Gyms open,,No more than 250 people
23,3/22/2020,Mendocino,1,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
24,3/22/2020,Merced,0,0,,,,,,,,
25,3/22/2020,Modoc,0,0,,,,,,,,
26,3/22/2020,Mono,1,0,,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
27,3/22/2020,Monterey,8,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
28,3/22/2020,Napa,0,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
29,3/22/2020,Nevada,1,0,,,,,,,,
30,3/22/2020,Orange,78,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
31,3/22/2020,Placer,12,1,Shelter in place,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,Except in individual households
32,3/22/2020,Plumas,0,0,,,,,,,,
33,3/22/2020,Riverside,30,5,Shelter in place in Palm Springs,Open,Open only for essential functions,Dine-in eating open. Bars open.,K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 10 people
34,3/22/2020,Sacramento,53,3,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
35,3/22/2020,San Benito,5,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
36,3/22/2020,San Bernardino,10,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
37,3/22/2020,San Diego,135,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 10 people
38,3/22/2020,San Francisco,105,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
39,3/22/2020,San Joaquin,31,2,,Open,Open only for essential functions,Dine-in eating open. Bars open.,K-12 schools are closed. Colleges online only,Social distancing encouraged,,No more than 250 people
40,3/22/2020,San Luis Obispo,21,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 250 people
41,3/22/2020,San Mateo,118,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
42,3/22/2020,Santa Barbara,13,0,,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
43,3/22/2020,Santa Clara,263,8,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
44,3/22/2020,Santa Cruz,15,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
45,3/22/2020,Shasta,1,0,,,,,,,,
46,3/22/2020,Sierra,0,0,,,,,,,,
47,3/22/2020,Siskiyou,2,0,,,,,,,,
48,3/22/2020,Solano,14,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
49,3/22/2020,Sonoma,24,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
50,3/22/2020,Stanislaus,5,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
51,3/22/2020,Sutter,0,0,Shelter in place recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
52,3/22/2020,Tehama,0,0,,,,,,,,
53,3/22/2020,Trinity,0,0,,,,,,,,
54,3/22/2020,Tulare,11,0,,,,,,,,
55,3/22/2020,Tuolumne,0,0,,,,,,,,
56,3/22/2020,Ventura,26,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
57,3/22/2020,Yolo,6,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
58,3/22/2020,Yuba,2,0,Shelter in place recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
59,3/23/2020,Alameda,122,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
60,3/23/2020,Alpine,0,0,,,,,,,,
61,3/23/2020,Amador,2,0,,,,,,,,
62,3/23/2020,Butte,3,0,,,,,,,,
63,3/23/2020,Calaveras,2,0,,,,,,,,
64,3/23/2020,Colusa,0,0,,,,,,,,
65,3/23/2020,Contra Costa,71,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
66,3/23/2020,Del Norte,0,0,,,,,,,,
67,3/23/2020,El Dorado,2,0,Shelter in place,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,Except in individual households
68,3/23/2020,Fresno,13,0,Shelter in place in city of Fresno recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
69,3/23/2020,Glenn,0,0,,,,,,,,
70,3/23/2020,Humboldt,2,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
71,3/23/2020,Imperial,6,0,,,,,,,,
72,3/23/2020,Inyo,0,0,,,,,,,,
73,3/23/2020,Kern,12,0,,,,,,,,
74,3/23/2020,Kings,0,0,,,,,,,,
75,3/23/2020,Lake,0,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
76,3/23/2020,Lassen,0,0,,,,,,,,
77,3/23/2020,Los Angeles,538,8,Safer at Home,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 10 people
78,3/23/2020,Madera,6,0,,,,,,,,
79,3/23/2020,Marin,38,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
80,3/23/2020,Mariposa,0,0,,Open,Open,Maintain social distancing: bars open. Restaurants are takeout/delivery only.,K-12 schools are closed.,Maintain social distancing: Gyms open,,No more than 250 people
81,3/23/2020,Mendocino,1,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
82,3/23/2020,Merced,1,0,,,,,,,,
83,3/23/2020,Modoc,0,0,,,,,,,,
84,3/23/2020,Mono,1,0,,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
85,3/23/2020,Monterey,14,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
86,3/23/2020,Napa,2,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
87,3/23/2020,Nevada,3,0,,,,,,,,
88,3/23/2020,Orange,125,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
89,3/23/2020,Placer,20,1,Shelter in place,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,Except in individual households
90,3/23/2020,Plumas,0,0,,,,,,,,
91,3/23/2020,Riverside,48,6,Shelter in place in Palm Springs,Open,Open only for essential functions,Dine-in eating open. Bars open.,K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 10 people
92,3/23/2020,Sacramento,88,4,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
93,3/23/2020,San Benito,6,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
94,3/23/2020,San Bernardino,17,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
95,3/23/2020,San Diego,178,1,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 10 people
96,3/23/2020,San Francisco,131,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
97,3/23/2020,San Joaquin,51,2,,Open,Open only for essential functions,Dine-in eating open. Bars open.,K-12 schools are closed. Colleges online only,Social distancing encouraged,,No more than 250 people
98,3/23/2020,San Luis Obispo,33,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,No more than 250 people
99,3/23/2020,San Mateo,143,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
100,3/23/2020,Santa Barbara,18,0,,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,No more than 250 people
101,3/23/2020,Santa Clara,321,13,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
102,3/23/2020,Santa Cruz,22,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
103,3/23/2020,Shasta,3,0,,,,,,,,
104,3/23/2020,Sierra,0,0,,,,,,,,
105,3/23/2020,Siskiyou,2,0,,,,,,,,
106,3/23/2020,Solano,21,0,,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
107,3/23/2020,Sonoma,27,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
108,3/23/2020,Stanislaus,9,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
109,3/23/2020,Sutter,0,0,Shelter in place recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
110,3/23/2020,Tehama,0,0,,,,,,,,
111,3/23/2020,Trinity,0,0,,,,,,,,
112,3/23/2020,Tuolumne,0,0,,,,,,,,
113,3/23/2020,Tulare,16,0,,,,,,,,
114,3/23/2020,Ventura,35,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
115,3/23/2020,Yolo,6,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",,Except in individual households
116,3/23/2020,Yuba,3,0,Shelter in place recommended,Open,Open only for essential functions,"Recommended: Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Recommended: Gyms, movie theaters, etc. closed",,All non-essential public gatherings are prohibited
117,3/24/2020,Alameda,135,2,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
118,3/24/2020,Alpine,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,All non-essential public gatherings are prohibited
119,3/24/2020,Amador,2,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
120,3/24/2020,Butte,4,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
121,3/24/2020,Calaveras,2,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
122,3/24/2020,Colusa,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
123,3/24/2020,Contra Costa,86,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
124,3/24/2020,Del Norte,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
125,3/24/2020,El Dorado,3,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
126,3/24/2020,Fresno,18,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
127,3/24/2020,Glenn,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
128,3/24/2020,Humboldt,5,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
129,3/24/2020,Imperial,9,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
130,3/24/2020,Inyo,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
131,3/24/2020,Kern,14,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
132,3/24/2020,Kings,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
133,3/24/2020,Lake,0,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
134,3/24/2020,Lassen,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
135,3/24/2020,Los Angeles,669,11,Safer at Home,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,No more than 10 people
136,3/24/2020,Madera,6,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
137,3/24/2020,Marin,53,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
138,3/24/2020,Mariposa,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
139,3/24/2020,Mendocino,2,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
140,3/24/2020,Merced,1,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
141,3/24/2020,Modoc,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
142,3/24/2020,Mono,2,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
143,3/24/2020,Monterey,20,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
144,3/24/2020,Napa,3,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
145,3/24/2020,Nevada,4,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
146,3/24/2020,Orange,152,1,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
147,3/24/2020,Placer,26,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
148,3/24/2020,Plumas,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
149,3/24/2020,Riverside,59,6,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
150,3/24/2020,Sacramento,88,4,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
151,3/24/2020,San Benito,7,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
152,3/24/2020,San Bernardino,38,1,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
153,3/24/2020,San Diego,226,2,Stay at home,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
154,3/24/2020,San Francisco,152,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
155,3/24/2020,San Joaquin,60,2,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,All non-essential public gatherings are prohibited
156,3/24/2020,San Luis Obispo,42,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
157,3/24/2020,San Mateo,161,2,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
158,3/24/2020,Santa Barbara,18,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,All non-essential public gatherings are prohibited
159,3/24/2020,Santa Clara,375,16,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
160,3/24/2020,Santa Cruz,24,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
161,3/24/2020,Shasta,3,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
162,3/24/2020,Sierra,0,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
163,3/24/2020,Siskiyou,3,0,Following state order,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",All non-essential public gatherings are prohibited
164,3/24/2020,Solano,24,0,Shelter at home,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed","Parking lots, state park campgrounds and indoor facilities closed",Except in individual households
165,3/24/2020,Sonoma,34,1,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
166,3/24/2020,Stanislaus,11,0,Shelter in place,Open,Open only for essential functions,"Bars closed, delivery/take out only",K-12 schools are closed. Colleges online only,"Gyms, movie theaters, etc. closed",Closed,Except in individual households
